Topology,Traffic,InjectionRate,Throughput,PacketsInjected,PacketsReceived,AvgTotalLatency,AvgHops
Hier3D_Chiplet_Z2,uniform_random,0.300,0.113500,73094,72640,507.4603,4.4308
Hier3D_Chiplet_Z4,uniform_random,0.280,0.057750,37515,36960,1157.8185,4.4360
Hier3D_Chiplet_Z2,uniform_random,0.480,0.103930,67088,66515,1466.0818,4.3700
Hier3D_Chiplet_Z4,uniform_random,0.200,0.075130,48536,48083,563.1570,4.4602
Hier3D_Chiplet_Z2,uniform_random,0.500,0.085062,55000,54440,1782.3078,4.3855
Hier3D_Chiplet_Z4,uniform_random,0.240,0.062787,40732,40184,1163.9447,4.4880
Hier3D_Chiplet_Z4,uniform_random,0.220,0.068278,44186,43698,524.7185,4.4873
Hier3D_Chiplet_Z2,uniform_random,0.400,0.088453,57171,56610,1503.3120,4.3988
Hier3D_Chiplet_Z4,uniform_random,0.360,0.062706,40694,40132,1780.4212,4.2984
Hier3D_Chiplet_Z4,uniform_random,0.260,0.061109,39679,39110,1088.0316,4.4314
Hier3D_Chiplet_Z4,uniform_random,0.320,0.052870,34408,33837,1759.2776,4.3426
Hier3D_Chiplet_Z4,uniform_random,0.340,0.048106,31344,30788,1613.8685,4.3557
Hier3D_Chiplet_Z4,uniform_random,0.420,0.054337,35344,34776,2059.2964,4.2433
Hier3D_Chiplet_Z4,uniform_random,0.300,0.062978,40890,40306,1360.8801,4.4082
Hier3D_Chiplet_Z4,uniform_random,0.400,0.045870,29935,29357,2193.4348,4.2845
Hier3D_Chiplet_Z4,uniform_random,0.380,0.059634,38737,38166,2100.3498,4.2670
Hier3D_Chiplet_Z4,uniform_random,0.440,0.054161,35233,34663,2243.7892,4.2207
Hier3D_Chiplet_Z4,uniform_random,0.460,0.054816,35650,35082,2287.9456,4.2258
Hier3D_Chiplet_Z4,uniform_random,0.480,0.043977,28710,28145,2408.1120,4.3240
Hier3D_Chiplet_Z4,uniform_random,0.500,0.050519,32906,32332,2697.9767,4.2912
